SiteID,Company,CompanyText,Customer,CustomerText,Name,State,StateText,Contact_Person,Contact_Number,Address,Maker,MakerText,Checker,ChekcerText,IsActText,IsAct
"88","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Mumbai","22","Maharashtra","","2978646536","","32","maker","33","checker","Active","1"
"89","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Naraina","16","Delhi","","2978646536","","32","maker","33","checker","Active","1"
"90","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Mayapuri","16","Delhi","","2978646536","","32","maker","33","checker","Active","1"
"91","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Bengaluru","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"92","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Chennai","6","Tamil Nadu","","2978646536","","32","maker","33","checker","Active","1"
"98","11","JCB Ltd","10","Aapt Outsourcing Solutions Pvt Ltd","Delhi","16","Delhi","","2978646536","","32","maker","33","checker","Active","1"
"99","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","Kolkata","2","West Bengal","","2978646536","","32","maker","33","checker","Active","1"
"100","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","B-34 Gurgaon","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"101","12","Micromax Informatics Ltd","12","Micromax Informatics Ltd","90B Gurgaon","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"102","6","Fujifilm India Private Limited","2","Cars24","Test Site","1","Telangana","Test Vinod","8800256550","","0","","0","","IN Active","0"
"103","6","Fujifilm India Private Limited","1","Fujifilm","Test Site","2","West Bengal","","","","0","","0","","IN Active","0"
