LocationID,Name,State,Status,Response,Message
"0","Navsari","Gujarat","1","Success",""
"0","Mahbubnagar","Telangana","1","Success",""
"0","Puri","Odisha","1","Success",""
"0","Robertson Pet","Karnataka","1","Success",""
"0","Erode","Tamil Nadu","1","Success",""
"0","Batala","Punjab","1","Success",""
"0","Haldwani'-cum'-Kathgodam","Uttarakhand","1","Success",""
"0","Vidisha","Madhya Pradesh","1","Success",""
"0","Saharsa","Bihar","1","Success",""
"0","Thanesar","Haryana","1","Success",""
"0","Chittoor","Andhra Pradesh","1","Success",""
"0","Veraval","Gujarat","1","Success",""
"0","Lakhimpur","Uttar Pradesh","1","Success",""
"0","Sitapur","Uttar Pradesh","1","Success",""
"0","Hindupur","Andhra Pradesh","1","Success",""
"0","Santipur","West Bengal","1","Success",""
"0","Balurghat","West Bengal","1","Success",""
"0","Ganjbasoda","Madhya Pradesh","1","Success",""
"0","Moga","Punjab","1","Success",""
"0","Proddatur","Andhra Pradesh","1","Success",""
"0","Srinagar","Uttarakhand","1","Failed","Duplicate"
"0","Medinipur","West Bengal","1","Success",""
"0","Habra","West Bengal","1","Success",""
"0","Sasaram","Bihar","1","Success",""
"0","Hajipur","Bihar","1","Success",""
"0","Bhuj","Gujarat","1","Success",""
"0","Shivpuri","Madhya Pradesh","1","Success",""
"0","Ranaghat","West Bengal","1","Success",""
"0","Shimla","Himachal Pradesh","1","Success",""
