SiteID,Site,Site_Code,Company,Customer,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"28","Alaknanda Market New Delhi","Si_Ala_00028","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"29","Dwarka C394 New Delhi","Si_Dwa_00029","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"30","Kamla Nagar New Delhi","Si_Kam_00030","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"31","Mayur Vihar New Delhi","Si_May_00031","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"32","Khan Market New Delhi","Si_Kha_00032","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"33","Rohini New Delhi","Si_Roh_00033","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"34","Lajpat Nagar New Delhi","Si_Laj_00034","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"35","Janakpuri New Delhi","Si_Jan_00035","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"36","CP New Delhi","Si_CP _00036","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"37","Dwarka Sector 12 New Delhi","Si_Dwa_00037","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"38","Rajouri Garden New Delhi","Si_Raj_00038","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"39","Old Rajender Nagar New Delhi","Si_Old_00039","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"40","New Model Town New Delhi","Si_New_00040","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"41","Paschim Vihar New Delhi","Si_Pas_00041","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"42","Satya Niketan New Delhi","Si_Sat_00042","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"43","Elante Mall Chandigarh","Si_Ela_00043","Dealskart Online Solutions Private Limited","Dealskart","Chandigarh","","","","","","","Active"
"44","13th Floor Vatika","Si_13t_00044","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","","Active"
"45","Metropoliton Mall","Si_Met_00045","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","","Active"
"46","Galleria Mall","Si_Gal_00046","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","","Active"
"47","Sector 15 Store","Si_Sec_00047","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","","Active"
"48","Sector 31 Store","Si_Sec_00048","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","","Active"
"49","Mangal city indore","Si_Man_00049","Dealskart Online Solutions Private Limited","Dealskart","Madhya Pradesh","","","","","","","Active"
"50","whitefield PHOENIX MALL_BANGALORE","Si_whi_00050","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"51","Sarjapur(Bangalore)","Si_Sar_00051","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"52","Kumaraswamy_Bangalore Store","Si_Kum_00052","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"53","Kengeri_Bangalore","Si_Ken_00053","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"54","CMH Road Indiranagar","Si_CMH_00054","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"55","Koramanglam","Si_Kor_00055","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","","Active"
"56","Kurla West Mumbai","Si_Kur_00056","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"57","Aundh '- Pune","Si_Aun_00057","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"58","SV Road Mumbai","Si_SV _00058","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"59","Bandra Mumbai","Si_Ban_00059","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"60","Vashi Mumbai","Si_Vas_00060","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"61","Thane '- Vasant Vihar","Si_Tha_00061","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"62","Borivali_Mumbai","Si_Bor_00062","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"63","STAR BAZZAR AURANGABAD","Si_STA_00063","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"64","Orion Mall Mumbai","Si_Ori_00064","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"65","Kharghar Navi Mumbai","Si_Kha_00065","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"66","Chemburm Mumbai","Si_Che_00066","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"67","Store'-Star Bazaar Pune","Si_Sto_00067","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"68","Kay Vision","Si_Kay_00068","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"69","Kempscorner_Mumbai","Si_Kem_00069","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"70","Mahim_Mumbai Store","Si_Mah_00070","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"71","Korum Mall","Si_Kor_00071","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"72","Yerwada Pune","Si_Yer_00072","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","","Active"
"73","Samajiguda","Si_Sam_00073","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"74","Banjarahills","Si_Ban_00074","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"75","Spencer?s Musheerabad(Hyderabad)","Si_Spe_00075","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"76","Banjara Hills 2_Hyderabad Store","Si_Ban_00076","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"77","Begumpet_HYD Store","Si_Beg_00077","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"78","Champapet_HYD Store","Si_Cha_00078","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"79","Begumpet_HYD ","Si_Beg_00079","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","","Active"
"80","Noida Sec'-18","Si_Noi_00080","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"81","GIP Mall Noida","Si_GIP_00081","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"82","Indranagar UP","Si_Ind_00082","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"83","Noida_Sec'-50","Si_Noi_00083","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"84","Retrobee_IndiraNagar","Si_Ret_00084","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"85","Ansal Plaza Noida","Si_Ans_00085","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","","Active"
"86","Tollygunj kolkata","Si_Tol_00086","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"87","Store'-Spencer SIS Kolkata New Town","Si_Sto_00087","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"88","Camac Street Kolkata","Si_Cam_00088","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"89","Store'-Spencer SIS Mani Square kolkata","Si_Sto_00089","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"90","SaltLake_Kolkata","Si_Sal_00090","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"91","Srirampur_Kolkata Store","Si_Sri_00091","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"92","Uttapara_Kolkata Store","Si_Utt_00092","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"93","MG Road Kolkata","Si_MG _00093","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"94","Nagar Bazar_Kolkata Store","Si_Nag_00094","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"95","Shibpur_Kolkata Store","Si_Shi_00095","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"96","Tobin Road_Kolkata","Si_Tob_00096","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"97","Kharda_Kolkata Store","Si_Kha_00097","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"98","MadhaymGram_Kolkata Store","Si_Mad_00098","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"99","Newalipore_Kolkata Store","Si_New_00099","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","","Active"
"100","Surat Mall Gujrat","Si_Sur_00100","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","","Active"
"101","Baroda SIS","Si_Bar_00101","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","","Active"
"102","Store'-Star Bazar Ahamdabed","Si_Sto_00102","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","","Active"
"103","Mani Nagar Ahmedabad","Si_Man_00103","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","","Active"
"104","Gaurav Tower_Jaipur","Si_Gau_00104","Dealskart Online Solutions Private Limited","Dealskart","Rajasthan","","","","","","","Active"
"105","Kota Store","Si_Kot_00105","Dealskart Online Solutions Private Limited","Dealskart","Rajasthan","","","","","","","Active"
"106","Kodambakkam_Chennai","Si_Kod_00106","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"107","Velachery(Chennai)","Si_Vel_00107","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"108","Purasawalkam_Chennai","Si_Pur_00108","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","Purasaiwakkam, Chennai, Tamil Nadu, India","","","Active"
"109","Tondiarpet_Chennai","Si_Ton_00109","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"110","Ambattur OT_Chennai","Si_Amb_00110","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"111","Ambattur Bus stand_Chennai","Si_Amb_00111","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"112","Anna Nagar_Chennai","Si_Ann_00112","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"113","ECR_Chennai Store","Si_ECR_00113","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"114","Royapuram_Chennai Store","Si_Roy_00114","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"115","RK Salai_Chennai","Si_RK _00115","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"116","Jawahar Nagar_Chennai","Si_Jaw_00116","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"117","Perumbakkam_Chennai","Si_Per_00117","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"118","Tambaram West","Si_Tam_00118","Dealskart Online Solutions Private Limited","Dealskart","TamilNadu","","","","","","","Active"
"119","Telibandha Raipur","Si_Tel_00119","Dealskart Online Solutions Private Limited","Dealskart","Chhattisgarh","","","","","","","Active"
"448","Gurgaon2","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"449","Gurgaon3","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"450","Gurgaon6","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"451","Gurgaon4","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"452","Gurgaon5","","Demo Company","Mynd","Haryana","Gurgaon","","","","","","Active"
"453","Site_Code","Si_Sit_00453","Demo Company","Mynd","Telangana","Adilabad","","","","","","IN Active"
"313","Mumbai","Si_Mum_00313","Demo Company","Mynd","Maharashtra","","","","Bandra Mumbai","","","Active"
"314","Kolkata","Si_Kol_00314","Demo Company","Mynd","West Bengal","","","","Kolkata","","","Active"
"315","Chennai","Si_Che_00315","Demo Company","Mynd","TamilNadu","","","","Chennai","","","Active"
"316","Bengaluru","Si_Ben_00316","Demo Company","Mynd","Karnataka","","","","Bengaluru","","","Active"
"317","Hyderabad","Si_Hyd_00317","Demo Company","Mynd","Andhra Pradesh","","","","Hyderabad","","","Active"
"318","New Delhi","Si_New_00318","Demo Company","Mynd","Delhi","","","","New Delhi","","","Active"
"319","280 Gurgaon","Si_280_00319","Demo Company","Mynd","Haryana","","","","Udyog vihar Phase IV Gurgaon Haryana","","","Active"
